actualSlackMs, receiveSlackMs, decodeSlackMs, receiveTimeMs, decodeStartMs, decodeFinishMs, desiredReceiveTimeMs, desiredDecodeStartMs
23.0, 0.0, 23.0, 269978079.0, 269978102.0, 269978108.0, 269978079.0, 269978102.0
82.0, -14.0, 9.0, 269978125.0, 269978207.0, 269978210.0, 269978111.0, 269978134.0
41.0, 4.0, 27.0, 269978170.0, 269978211.0, 269978213.0, 269978174.0, 269978197.0
112.0, 17.0, 40.0, 269978189.0, 269978301.0, 269978303.0, 269978206.0, 269978229.0
97.0, 31.0, 54.0, 269978207.0, 269978304.0, 269978305.0, 269978238.0, 269978261.0
81.0, 45.0, 68.0, 269978226.0, 269978307.0, 269978307.0, 269978271.0, 269978294.0
65.0, 76.0, 99.0, 269978244.0, 269978309.0, 269978309.0, 269978320.0, 269978343.0
114.0, 59.0, 82.0, 269978293.0, 269978407.0, 269978410.0, 269978352.0, 269978375.0
87.0, 92.0, 115.0, 269978325.0, 269978412.0, 269978413.0, 269978417.0, 269978440.0
62.0, 95.0, 118.0, 269978352.0, 269978414.0, 269978415.0, 269978447.0, 269978470.0
38.0, 101.0, 124.0, 269978378.0, 269978416.0, 269978417.0, 269978479.0, 269978502.0
16.0, 108.0, 131.0, 269978402.0, 269978418.0, 269978419.0, 269978510.0, 269978533.0
76.0, 115.0, 138.0, 269978427.0, 269978503.0, 269978507.0, 269978542.0, 269978565.0
55.0, 122.0, 145.0, 269978453.0, 269978508.0, 269978510.0, 269978575.0, 269978598.0
31.0, 128.0, 151.0, 269978480.0, 269978511.0, 269978512.0, 269978608.0, 269978631.0
96.0, 133.0, 156.0, 269978506.0, 269978602.0, 269978606.0, 269978639.0, 269978662.0
76.0, 139.0, 162.0, 269978532.0, 269978608.0, 269978609.0, 269978671.0, 269978694.0
45.0, 153.0, 176.0, 269978566.0, 269978611.0, 269978612.0, 269978719.0, 269978742.0
16.0, 154.0, 177.0, 269978597.0, 269978613.0, 269978613.0, 269978751.0, 269978774.0
80.0, 156.0, 179.0, 269978628.0, 269978708.0, 269978710.0, 269978784.0, 269978807.0
51.0, 154.0, 177.0, 269978660.0, 269978711.0, 269978713.0, 269978814.0, 269978837.0
21.0, 154.0, 177.0, 269978693.0, 269978714.0, 269978715.0, 269978847.0, 269978870.0
294.0, 153.0, 176.0, 269978726.0, 269979020.0, 269979024.0, 269978879.0, 269978902.0
266.0, 150.0, 173.0, 269978760.0, 269979026.0, 269979028.0, 269978910.0, 269978933.0
247.0, 153.0, 176.0, 269978789.0, 269979036.0, 269979037.0, 269978942.0, 269978965.0
153.0, 153.0, 176.0, 269978885.0, 269979038.0, 269979039.0, 269979038.0, 269979061.0
43.0, 153.0, 176.0, 269978998.0, 269979041.0, 269979042.0, 269979151.0, 269979174.0
286.0, 152.0, 175.0, 269979033.0, 269979319.0, 269979323.0, 269979185.0, 269979208.0
34.0, 148.0, 171.0, 269979291.0, 269979325.0, 269979327.0, 269979439.0, 269979462.0
293.0, 151.0, 174.0, 269979320.0, 269979613.0, 269979617.0, 269979471.0, 269979494.0
25.0, 149.0, 172.0, 269979593.0, 269979618.0, 269979620.0, 269979742.0, 269979765.0
191.0, 151.0, 174.0, 269979624.0, 269979815.0, 269979818.0, 269979775.0, 269979798.0
19.0, 149.0, 172.0, 269979801.0, 269979820.0, 269979822.0, 269979950.0, 269979973.0
154.0, 149.0, 172.0, 269979833.0, 269979987.0, 269979991.0, 269979982.0, 269980005.0
28.0, 145.0, 168.0, 269979965.0, 269979993.0, 269979994.0, 269980110.0, 269980133.0
163.0, 148.0, 171.0, 269979995.0, 269980158.0, 269980162.0, 269980143.0, 269980166.0
13.0, 88.0, 111.0, 269980150.0, 269980163.0, 269980166.0, 269980238.0, 269980261.0
142.0, 64.0, 87.0, 269980206.0, 269980348.0, 269980354.0, 269980270.0, 269980293.0
17.0, 45.0, 68.0, 269980338.0, 269980355.0, 269980356.0, 269980383.0, 269980406.0
164.0, 61.0, 84.0, 269980354.0, 269980518.0, 269980522.0, 269980415.0, 269980438.0
38.0, 120.0, 143.0, 269980486.0, 269980524.0, 269980526.0, 269980606.0, 269980629.0
178.0, 121.0, 144.0, 269980518.0, 269980696.0, 269980701.0, 269980639.0, 269980662.0
71.0, 150.0, 173.0, 269980632.0, 269980703.0, 269980704.0, 269980782.0, 269980805.0
210.0, 149.0, 172.0, 269980665.0, 269980875.0, 269980880.0, 269980814.0, 269980837.0
56.0, 148.0, 171.0, 269980826.0, 269980882.0, 269980884.0, 269980974.0, 269980997.0
56.0, 147.0, 170.0, 269980859.0, 269980915.0, 269980916.0, 269981006.0, 269981029.0
152.0, 97.0, 120.0, 269980941.0, 269981093.0, 269981095.0, 269981038.0, 269981061.0
65.0, 120.0, 143.0, 269981031.0, 269981096.0, 269981104.0, 269981151.0, 269981174.0
22.0, 100.0, 123.0, 269981083.0, 269981105.0, 269981111.0, 269981183.0, 269981206.0
179.0, 132.0, 155.0, 269981083.0, 269981262.0, 269981267.0, 269981215.0, 269981238.0
225.0, 151.0, 174.0, 269981223.0, 269981448.0, 269981455.0, 269981374.0, 269981397.0
54.0, 148.0, 171.0, 269981402.0, 269981456.0, 269981460.0, 269981550.0, 269981573.0
192.0, 146.0, 169.0, 269981437.0, 269981629.0, 269981641.0, 269981583.0, 269981606.0
48.0, 148.0, 171.0, 269981594.0, 269981642.0, 269981646.0, 269981742.0, 269981765.0
170.0, 148.0, 171.0, 269981626.0, 269981796.0, 269981801.0, 269981774.0, 269981797.0
