frameId,currentSpatialLayer,targetSpatialLayer,preferredSpatialLayer,rttMs,lossRate,availableBitrateBps,receiveTimeMs,latestDecodeTimeMs,frameBufferInsertTimeMs,frameBufferExtractTimeMs,decodeQueueInsertTimeMs,decodeQueueExtractTimeMs,decodeStartMs,decodeFinishMs,desiredReceiveTimeMs,desiredDecodeStartMs,actualSlackMs,actualSlackEffectiveMs,receiveSlackMs,decodeSlackNominalMs,frameBufferResidenceMs,decodeQueueResidenceMs,decodeSlackEffectiveMs,pacing,isRecorded,isDropped,frameStatus,frameIndex
1643712736,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,0
1643715616,2.0,2.0,2.0,0.0,0.0,4666670.0,598488089.0,598488141.0,598488121.0,598488134.0,598488134.0,598488134.0,598488135.0,598488139.0,598488089.0,598488135.0,46.0,33.0,0.0,46.0,13.0,0.0,33.0,0.0,1,0,recorded,1
1643718496,2.0,2.0,2.0,0.0,0.0,4666670.0,598488109.0,598488204.0,598488204.0,598488204.0,598488204.0,598488205.0,598488206.0,598488212.0,598488121.0,598488167.0,97.0,96.0,12.0,58.0,0.0,1.0,57.0,0.0,1,0,recorded,2
1643721376,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,3
1643724346,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,4
1643727226,2.0,2.0,2.0,0.0,0.0,4666670.0,598488177.0,598488225.0,598488207.0,598488214.0,598488214.0,598488214.0,598488215.0,598488217.0,598488218.0,598488264.0,38.0,31.0,41.0,87.0,7.0,0.0,80.0,0.0,1,0,recorded,5
1643730016,2.0,2.0,2.0,0.0,0.0,4666670.0,598488210.0,598488304.0,598488303.0,598488304.0,598488304.0,598488304.0,598488305.0,598488307.0,598488249.0,598488295.0,95.0,94.0,39.0,85.0,1.0,0.0,84.0,0.0,1,0,recorded,6
1643732896,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,7
1643737216,2.0,2.0,2.0,0.0,0.0,4666670.0,598488291.0,598488319.0,598488305.0,598488308.0,598488308.0,598488308.0,598488308.0,598488310.0,598488329.0,598488375.0,17.0,14.0,38.0,84.0,3.0,0.0,81.0,0.0,1,0,recorded,8
1643740096,2.0,2.0,2.0,0.0,0.0,4666670.0,598488322.0,598488404.0,598488403.0,598488404.0,598488404.0,598488405.0,598488406.0,598488408.0,598488361.0,598488407.0,84.0,82.0,39.0,85.0,1.0,1.0,83.0,0.0,1,0,recorded,9
1643742976,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,10
1643745856,2.0,2.0,2.0,0.0,0.0,4666670.0,598488385.0,598488410.0,598488405.0,598488410.0,598488410.0,598488410.0,598488410.0,598488412.0,598488425.0,598488471.0,25.0,20.0,40.0,86.0,5.0,0.0,81.0,0.0,1,0,recorded,11
1643748736,2.0,2.0,2.0,0.0,0.0,4666670.0,598488418.0,598488506.0,598488505.0,598488506.0,598488507.0,598488507.0,598488508.0,598488512.0,598488457.0,598488503.0,90.0,89.0,39.0,85.0,1.0,0.0,84.0,0.0,1,0,recorded,12
1643751616,,,,,,,,,,,,,,,,,,,,,,,,,0,1,dropped_only,13
1643754586,2.0,2.0,2.0,0.0,0.0,4666670.0,598488479.0,598488513.0,598488508.0,598488514.0,598488514.0,598488514.0,598488514.0,598488517.0,598488522.0,598488568.0,35.0,29.0,43.0,89.0,6.0,0.0,83.0,0.0,1,0,recorded,14
