time_ms,rtt_ms,min_rtt_ms,predicted_queue_bytes,bucket_size_bytes
10324891259,1.32751,1.32751,0,12000
10324892635,0.534058,0.534058,0,12000
10324894133,0.0305176,0.0305176,0,12000
10324895384,1.17493,0.0305176,122.452,12000
10324896696,0.518799,0.0305176,61.0352,12000
10324897634,1.23596,0.0305176,162.735,12000
10324898775,1.2207,0.0305176,163.055,12000
10324899900,1.20544,0.0305176,164.49,12000
10324901337,0.427246,0.0305176,57.5256,12000
10324902181,0.137329,0.0305176,16.7694,12000
10324903009,0.0610352,0.0305176,5.15747,12000
10324904431,0.549316,0.0610352,89.3555,6000
10324905900,0.808716,0.0610352,159.256,3000
10324906509,0.961304,0.0610352,191.757,3000
10324908899,0.534058,0.0610352,110.687,4200
10324910025,0.396729,0.0610352,78.5522,4200
10324910854,0.946045,0.0610352,207.092,4200
10324912259,0.595093,0.0610352,124.969,4200
10324912931,0.839233,0.0610352,291.046,4200
10324912978,0.839233,0.0610352,291.046,4200
10324913525,0.228882,0.228882,0,4200
10324914431,0.228882,0.228882,0,4200
10324914431,0.808716,0.228882,0,4200
10324915275,0.808716,0.228882,219.757,4200
10324915839,0.62561,0.228882,150.36,4200
10324916729,0.62561,0.228882,150.36,4200
10324917119,1.06812,0.228882,318.069,4200
10324917979,1.09863,0.228882,329.636,4200
10324918183,1.09863,0.228882,329.636,4200
10324919384,0.778198,0.228882,233.459,4200
10324919619,0.778198,0.228882,233.459,4200
10324920634,0.152588,0.152588,0,4200
10324920697,0.152588,0.152588,0,4200
10324921651,0.152588,0.152588,0,4200
10324921869,1.08337,0.152588,395.584,4200
10324922478,1.08337,0.152588,395.584,4200
10324923103,1.08337,0.152588,395.584,4200
10324923136,0.62561,0.152588,201.035,4200
10324924229,1.44958,0.152588,675.735,4200
10324924604,1.44958,0.152588,675.735,4200
10324925166,1.44958,0.152588,675.735,4200
10324925417,2.5177,0.152588,1232.22,4200
10324926557,1.15967,0.152588,524.689,4200
10324926635,1.15967,0.152588,524.689,4200
10324927915,0.946045,0.152588,413.391,4200
10324928010,0.946045,0.152588,413.391,4200
10324928806,0.946045,0.152588,504.639,4200
10324928947,1.63269,0.152588,941.345,4200
10324930042,1.63269,0.152588,941.345,4200
10324930197,0.823975,0.152588,427.002,4200
10324931228,0.823975,0.152588,427.002,4200
10324931228,1.32751,0.152588,427.002,4200
10324931901,1.72424,0.62561,698.73,4200
10324932354,1.72424,0.62561,698.73,4200
10324932759,0.534058,0.534058,0,5400
10324933119,0.534058,0.534058,0,6600
10324933447,1.20544,0.534058,427.002,7800
10324934353,0.915527,0.534058,288.01,9000
10324934603,0.915527,0.534058,288.01,10200
10324934931,0.656128,0.534058,92.1631,11400
10324935432,0.656128,0.534058,92.1631,12600
10324935543,1.09863,0.534058,426.254,13800
10324936635,1.09863,0.534058,475.937,15000
10324937025,1.28174,0.534058,630.295,15000
10324937729,1.28174,0.534058,630.295,16200
10324937917,1.17493,0.534058,540.253,17400
10324938556,0.350952,0.350952,0,18600
10324939118,0.350952,0.350952,0,18600
10324939791,0.167847,0.167847,0,19800
10324940401,0.167847,0.167847,0,21000
10324941058,0.0915527,0.0915527,0,22200
10324941416,0.0915527,0.0915527,0,23400
10324942541,1.09863,0.0915527,848.969,23400
10324942916,1.09863,0.0915527,848.969,24600
10324943760,0.320435,0.0915527,192.947,24600
10324944104,0.320435,0.0915527,192.947,24600
10324944979,0.457764,0.0915527,308.716,24600
10324945056,0.457764,0.0915527,308.716,25800
10324946104,0.579834,0.0915527,411.621,25800
10324946182,0.579834,0.0915527,411.621,25800
10324947291,0.549316,0.0915527,385.895,25800
10324947682,0.549316,0.0915527,385.895,27000
10324948011,0.549316,0.0915527,385.895,27000
10324948729,0.549316,0.0915527,385.895,27000
10324949073,0.442505,0.0915527,295.853,27000
10324949386,0.442505,0.0915527,295.853,27000
10324950011,0.442505,0.0915527,295.853,27000
10324950307,0.823975,0.0915527,617.432,27000
10324950729,0.823975,0.0915527,617.432,27000
10324951386,1.25122,0.0915527,977.6,27000
10324951525,1.25122,0.320435,784.653,27000
10324952260,0.991821,0.320435,565.979,27000
10324952541,0.991821,0.320435,565.979,27000
10324952932,0.701904,0.320435,307.465,28200
10324953073,0.701904,0.320435,307.465,28200
10324954135,0.12207,0.12207,0,28200
10324954276,0.12207,0.12207,0,28200
10324954808,2.02942,0.12207,1607.89,28200
10324982058,0.350952,0.350952,0,12000
10324982917,1.34277,0.350952,87.2803,12000
10324983761,0.656128,0.350952,28.9917,12000
10324984402,0.88501,0.350952,54.4739,6000
10324985621,1.31226,0.350952,106.705,6000
10324986463,0.366211,0.350952,1.8158,6000
10324987230,0.473022,0.350952,14.5264,6000
10324987840,0.869751,0.350952,64.8499,6000
10324989245,0.534058,0.350952,22.8882,6000
10324989964,1.06812,0.350952,96.0999,6000
10324990793,0.259399,0.259399,0,6000
10324991808,0.823975,0.259399,87.5092,6000
10324992840,1.00708,0.259399,123.367,7200
10324993589,0.88501,0.259399,111.359,3600
10324994386,1.14441,0.259399,157.532,2400
10324995668,1.02234,0.259399,158.691,2400
10324996996,1.37329,0.259399,232.803,2400
10324997668,1.43433,0.259399,245.56,2400
10324998996,0.961304,0.259399,146.698,3600
10324999636,0.671387,0.259399,86.1053,3600
10325000902,1.28174,0.671387,127.563,3600
10325001964,0.366211,0.366211,0,3600
10325001995,0.366211,0.366211,0,3600
10325002543,1.26648,0.366211,253.876,3600
10325003340,1.26648,0.366211,253.876,3600
10325003918,1.06812,0.366211,193.024,3600
10325004621,1.06812,0.366211,193.024,3600
10325004715,0.808716,0.366211,121.689,3600
10325005261,0.808716,0.366211,121.689,4800
10325006043,0.930786,0.366211,155.258,4800
10325006152,0.930786,0.366211,155.258,4800
10325007418,0.793457,0.366211,117.493,4800
10325007433,0.793457,0.366211,117.493,4800
10325008325,1.9989,0.366211,713.486,4800
10325008340,1.9989,0.366211,713.486,4800
10325009230,0.946045,0.366211,350.22,4800
10325009715,0.946045,0.366211,350.22,4800
10325009997,1.20544,0.366211,506.897,4800
10325010340,1.20544,0.366211,506.897,4800
10325011027,1.34277,0.366211,589.844,4800
10325011621,0.732422,0.366211,221.191,4800
10325011730,0.732422,0.366211,221.191,4800
